Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translation,Related_terms,Drafted by,Originally Drafted by,trans_title
Open Source software ," A type of computer software in which source code is released under a license that permits others to use, change, and distribute the software to anyone and for any purpose. Open source is more than openly accessible: the distribution terms of open-source software must comply with 10 specific criteria (see: [https://opensource.org/osd](https://opensource.org/osd))."," [https://opensource.org/osd](https://opensource.org/osd); [https://www.fosteropenscience.eu/foster-taxonomy/open-source-open-science](https://www.fosteropenscience.eu/foster-taxonomy/open-source-open-science) \[@Open\_Source\_Initiative\_n\_d\], \[@AnonFOSTERND\]", Connor Keating, Jamie P. Cockcroft; Helena Hartmann; Charlotte R. Pennington; Andrew J. Stewart," A type of computer software in which source code is released under a license that permits others to use, change, and distribute the software to anyone and for any purpose. Open source is more than openly accessible: the distribution terms of open-source software must comply with 10 specific criteria (see: [https://opensource.org/osd](https://opensource.org/osd)).", Github; Open Access; Open Code; Open Data; Open Licenses; Python; R; Repository,NA,NA,NA
Open washing ," Open washing, termed after “greenwashing”, refers to the act of claiming openness to secure perceptions of rigor or prestige associated with open practices. It has been used to characterise the marketing strategy of software companies that have the appearance of open-source and open-licensing, while engaging in proprietary practices. Open washing is a growing concern for those adopting open science practices as their actions are undermined by misleading uses of the practices, and actions designed to facilitate progressive developments are reduced to ‘ticking the box’ without clear quality control."," Farrow (2017); Moretti (2020); Villum (2016); Vlaeminck and Podkrajac (2017) \[@Farrow2017\], \[@Moretti2020\], \[@Villum2016\], \[@Vlaeminck2017\]", Meng Liu, Thomas Rhys Evans; Sam Guay; Sam Parsons; Charlotte R. Pennington; Beatrice Valentini," Open washing, termed after “greenwashing”, refers to the act of claiming openness to secure perceptions of rigor or prestige associated with open practices. It has been used to characterise the marketing strategy of software companies that have the appearance of open-source and open-licensing, while engaging in proprietary practices. Open washing is a growing concern for those adopting open science practices as their actions are undermined by misleading uses of the practices, and actions designed to facilitate progressive developments are reduced to ‘ticking the box’ without clear quality control.",Open Access; Open Data; Open Source,NA,NA,NA
Optional Stopping ," The practice of (repeatedly) analyzing data during the data collection process and deciding to stop data collection if a statistical criterion (e.g. *p*\-value, or bayes factor) reaches a specified threshold. If appropriate methodological precautions are taken to control the type 1 error rate, this can be an efficient analysis procedure (e.g. Lakens, 2014). However, without transparent reporting or appropriate error control the type 1 error can increase greatly and optional stopping could be considered a Questionable Research Practice (QRP) or a form of p-hacking."," Beffara Bret et al. (2021); Lakens (2014); Sagarin et al. (2014); Schönbrodt et al. (2017) \[@BeffaraBret2021\], \[@Lakens2014\], \[@Sagarin2014\], \[@Schonbrodt2017\]",NA, Ali H. Al-Hoorie; Helena Hartmann; Catia M. Oliveira; Sam Parsons," The practice of (repeatedly) analyzing data during the data collection process and deciding to stop data collection if a statistical criterion (e.g. *p*\-value, or bayes factor) reaches a specified threshold. If appropriate methodological precautions are taken to control the type 1 error rate, this can be an efficient analysis procedure (e.g. Lakens, 2014). However, without transparent reporting or appropriate error control the type 1 error can increase greatly and optional stopping could be considered a Questionable Research Practice (QRP) or a form of p-hacking.", *P*\-hacking; Questionable Research Practices or Questionable Reporting Practices (QRPs); Sequential testing,NA, Brice Beffara Bret; Bettina M. J. Kern,NA
ORCID (Open Researcher and Contributor ID) ," A organisation that provides a registry of persistent unique identifiers (ORCID iDs) for researchers and scholars, allowing these users to link their digital research documents and other contributions to their ORCID record. This avoids the name ambiguity problem in scholarly communication. ORCID iDs provide unique, persistent identifiers connecting researchers and their scholarly work. It is free to register for an ORCID iD at https://orcid.org/register."," Haak et al. (2012); [https://orcid.org/](https://orcid.org/) \[@HaakEtAl2012\], \[@*ORCID\]*",NA, Bradley Baker; Mahmoud Elsherif; Shannon Francis; Charlotte R. Pennington; Emily A. Williams; Flávio Azevedo  ### ---," A organisation that provides a registry of persistent unique identifiers (ORCID iDs) for researchers and scholars, allowing these users to link their digital research documents and other contributions to their ORCID record. This avoids the name ambiguity problem in scholarly communication. ORCID iDs provide unique, persistent identifiers connecting researchers and their scholarly work. It is free to register for an ORCID iD at https://orcid.org/register.", Authorship; DOI (digital object identifier); Name Ambiguity Problem, Martin Vasilev,NA,Open Researcher and Contributor ID
Overlay Journal ," Open access electronic journals that collect and curate articles available from other sources (typically preprint servers, such as arXiv). Article curation may include (post-publication) peer review or editorial selection. Overlay journals do not publish novel material; rather, they organize and collate articles available in existing repositories."," Ginsparg (1997, 2001); [https://discovery.ucl.ac.uk/id/eprint/19081/](https://discovery.ucl.ac.uk/id/eprint/19081/) **\[@**Ginsparg1997**\], \[@**Ginsparg2001**\], \[@**brown2010introduction**\]**", Bradley Baker, Christopher Graham; Helena Hartmann; Sam Parsons; Charlotte R. Pennington   ###  ### **P** {#p}," Open access electronic journals that collect and curate articles available from other sources (typically preprint servers, such as arXiv). Article curation may include (post-publication) peer review or editorial selection. Overlay journals do not publish novel material; rather, they organize and collate articles available in existing repositories.", Open access; Preprint,NA,NA,NA
P-curve ," P-curve is a tool for identifying potential publication bias and makes use of the distribution of significant *p*\-values in a series of independent findings. The deviation from the expected right-skewed distribution can be used to assess the existence and degree of publication bias: if the curve is right-skewed, there are more low, highly significant *p*\-values, reflecting an underlying true effect. If the curve is left-skewed, there are many barely significant results just under the 0.05-threshold. This suggests that the studies lack evidential value and may be underpinned by questionable research practices (QRPs; e.g., p-hacking). In the case of no true effect present (true null hypothesis) and unbiased *p*\-value reporting, the *p*\-curve should be a flat, horizontal line, representing the typical distribution of *p*\-values."," Bruns and Ioannidis (2016); Simonsohn et al. (2014a); Simonsohn et al.(2014b); Simonsohn et al. (2019) \[@BrunsIoannidis2016\], \[@Simonsohn2014pcurve\], \[@Simonsohn2014effect\], \[@Simonsohn2019\]", Bettina M. J. Kern, Sam Guay; Kamil Izydorczak; Charlotte R. Pennington; Robert M. Ross; Olmo van den Akker," P-curve is a tool for identifying potential publication bias and makes use of the distribution of significant *p*\-values in a series of independent findings. The deviation from the expected right-skewed distribution can be used to assess the existence and degree of publication bias: if the curve is right-skewed, there are more low, highly significant *p*\-values, reflecting an underlying true effect. If the curve is left-skewed, there are many barely significant results just under the 0.05-threshold. This suggests that the studies lack evidential value and may be underpinned by questionable research practices (QRPs; e.g., p-hacking). In the case of no true effect present (true null hypothesis) and unbiased *p*\-value reporting, the *p*\-curve should be a flat, horizontal line, representing the typical distribution of *p*\-values.", File-drawer; Hypothesis; *P*\-hacking; *p*\-value; Publication bias (File Drawer Problem); Questionable Research Practices or Questionable Reporting Practices (QRPs); Selective reporting; Z-curve,NA,NA,NA
p*****-hacking *," Exploiting techniques that may artificially increase the likelihood of obtaining a statistically significant result by meeting the standard statistical significance criterion (typically α \= .05). For example, performing multiple analyses and reporting only those at *p* \< .05, selectively removing data until *p* \< .05, selecting variables for use in analyses based on whether those parameters are statistically significant."," Hardwicke et al. (2014); Neuroskeptic (2012) \[@HardwickeEtAl2014\], \[@Neuroskeptic2012\]",NA, Tamara Kalandadze; William Ngiam; Sam Parsons; Martin Vasilev," Exploiting techniques that may artificially increase the likelihood of obtaining a statistically significant result by meeting the standard statistical significance criterion (typically α \= .05). For example, performing multiple analyses and reporting only those at *p* \< .05, selectively removing data until *p* \< .05, selecting variables for use in analyses based on whether those parameters are statistically significant.", Analytic flexibility; Fishing; Garden of forking paths; HARKing; Questionable Research Practices or Questionable Reporting Practices (QRPs); Selective reporting, Mahmoud Elsherif,NA,NA
p*****-value *," A statistic used to evaluate the outcome of a hypothesis test in Null Hypothesis Significance Testing (NHST). It refers to the probability of observing an effect, or more extreme effect, assuming the null hypothesis is true (Lakens, 2021b). The American Statistical Association’s statement on p-values (Wasserstein & Lazar, 2016\) notes that p-values are not an indicator of the truth of the null hypothesis and instead defines p-values in this way: “Informally, a p-value is the probability under a specified statistical model that a statistical summary of the data (e.g., the sample mean difference between two compared groups) would be equal to or more extreme than its observed value” (p. 131)."," [https://psyteachr.github.io/glossary/p.html](https://psyteachr.github.io/glossary/p.html); Lakens (2021b); Wasserstein and Lazar (2016) \[@psyTeachRGlossary\], \[@Lakens2021b\], \[@Wasserstein2016\]",NA, Jamie P. Cockcroft; Charlotte R. Pennington; Suzanne L. K. Stewart; Robbie C.M. van Aert; Marcel A.L.M. van Assen; Martin Vasilev," A statistic used to evaluate the outcome of a hypothesis test in Null Hypothesis Significance Testing (NHST). It refers to the probability of observing an effect, or more extreme effect, assuming the null hypothesis is true (Lakens, 2021b). The American Statistical Association’s statement on p-values (Wasserstein & Lazar, 2016\) notes that p-values are not an indicator of the truth of the null hypothesis and instead defines p-values in this way: “Informally, a p-value is the probability under a specified statistical model that a statistical summary of the data (e.g., the sample mean difference between two compared groups) would be equal to or more extreme than its observed value” (p. 131).", Null Hypothesis Statistical Testing (NHST); statistical significance, Alaa AlDoh; Flávio Azevedo,NA,NA
Papermill ," An organization that is engaged in scientific misconduct wherein multiple papers are produced by falsifying or fabricating data, e.g. by editing figures or numerical data or plagiarizing written text. Papermills are “alleged to offer products ranging from research data through to ghostwritten fraudulent or fabricated manuscripts and submission services” (Byrne & Christopher, 2020, p. 583). A papermill relates to the fast production and dissemination of multiple allegedly new papers. These are often not detected in the scientific publishing process and therefore either never found or retracted if discovered (e.g. through plagiarism software)."," Byrne and Christopher (2020); Hackett and Kelly (2020) \[@ByrneChristopher2020\], \[@HackettKelly2020\]", Helena Hartmann, Sarah Ashcroft-Jones; Elizabeth Collins; Mahmoud Elsherif; Charlotte R. Pennington," An organization that is engaged in scientific misconduct wherein multiple papers are produced by falsifying or fabricating data, e.g. by editing figures or numerical data or plagiarizing written text. Papermills are “alleged to offer products ranging from research data through to ghostwritten fraudulent or fabricated manuscripts and submission services” (Byrne & Christopher, 2020, p. 583). A papermill relates to the fast production and dissemination of multiple allegedly new papers. These are often not detected in the scientific publishing process and therefore either never found or retracted if discovered (e.g. through plagiarism software).", Data fabrication; Data falsification; Fraud; Plagiarism; Questionable Research Practices or Questionable Reporting Practices (QRPs); Scientific misconduct; Scientific publishing,NA,NA,NA
Paradata ," Data that are captured about the characteristics and context of primary data collected from an individual \- distinct from metadata. Paradata can be used to investigate a respondent’s interaction with a survey or an experiment on a micro-level. They can be most easily collected during computer mediated surveys but are not limited to them. Examples include response times to survey questions, repeated patterns of responses such as choosing the same answer for all questions, contextual characteristics of the participant such as injuries that prevent good performance on tasks, the number of premature responses to stimuli in an experiment. Paradata have been used for the investigation and adjustment of measurement and sampling errors.", Kreuter (2013) \[@Kreuter2013\], Alexander Hart; Graham Reid, Helena Hartmann; Charlotte R. Pennington; Marta Topor; Flávio Azevedo," Data that are captured about the characteristics and context of primary data collected from an individual \- distinct from metadata. Paradata can be used to investigate a respondent’s interaction with a survey or an experiment on a micro-level. They can be most easily collected during computer mediated surveys but are not limited to them. Examples include response times to survey questions, repeated patterns of responses such as choosing the same answer for all questions, contextual characteristics of the participant such as injuries that prevent good performance on tasks, the number of premature responses to stimuli in an experiment. Paradata have been used for the investigation and adjustment of measurement and sampling errors.", Auxiliary data; Data collection; Data quality; Metadata; Process information,NA,NA,NA
PARKing ," PARKing (preregistering after results are known) is defined as the practice where researchers complete an experiment (possibly with infinite re-experimentation) before preregistering. This practice invalidates the purpose of preregistration, and is one of the QRPs (or, even scientific misconduct) that try to gain only ""credibility that it has been preregistered."""," [Ikeda et al. (2019)](https://www.jstage.jst.go.jp/article/sjpr/62/3/62_281/_pdf/-char/ja); [Yamada (2018)](https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01831/full) \[@Ikeda2019\], \[@Yamada2018\]", Qinyu Xiao,Helena Hartmann; Sam Parsons; Yuki Yamada," PARKing (preregistering after results are known) is defined as the practice where researchers complete an experiment (possibly with infinite re-experimentation) before preregistering. This practice invalidates the purpose of preregistration, and is one of the QRPs (or, even scientific misconduct) that try to gain only ""credibility that it has been preregistered.""", HARKing; Preregistration; Questionable Research Practices or Questionable Reporting Practices (QRPs),NA,NA,NA
Participatory Research ," Participatory research refers to incorporating the views of people from relevant communities in the entire research process to achieve shared goals between researchers and the communities. This approach takes a collaborative stance that seeks to reduce the power imbalance between the researcher and those researched through a “systematic cocreation of new knowledge” (Andersson, 2018)."," Cornwall and Jewkes (1995); Fletcher-Watson et al. (2019); Kiernan (1999); Leavy (2017); Ottmann et al. (2011); Rose (2018) \[@CornwallJewkes1995\], \[@FletcherWatson2019\], \[@Kiernan1999\], \[@Leavy2017\], \[@Ottmann2011\], \[@Rose2018\]", Tamara Kalandadze, Jamie P. Cockcroft; Bethan Iley; Halil E. Kocalar; Michele C. Lim," Participatory research refers to incorporating the views of people from relevant communities in the entire research process to achieve shared goals between researchers and the communities. This approach takes a collaborative stance that seeks to reduce the power imbalance between the researcher and those researched through a “systematic cocreation of new knowledge” (Andersson, 2018).", Collaborative research; Inclusion; Neurodiversity; Patient and Public Involvement (PPI); Transformative paradigm,NA,NA,NA
Patient and Public Involvement (PPI) ," Active research collaboration with the population of interest, as opposed to conducting research “about” them. Researchers can incorporate the lived experience and expertise of patients and the public at all stages of the research process. For example, patients can help to develop a set of research questions, review the suitability of a study design, approve plain English summaries for grant/ethics applications and dissemination, collect and analyse data, and assist with writing up a project for publication. This is becoming highly recommended and even required by funders (Boivin et al., 2018)."," Boivin et al. (2018); [https://www.invo.org.uk/](https://www.invo.org.uk/) \[@BoivinEtAl2018\], \[@INVOLVE\]", Jade Pickering, Mahmoud Elsherif; Sam Parsons; Catia M. Oliveira," Active research collaboration with the population of interest, as opposed to conducting research “about” them. Researchers can incorporate the lived experience and expertise of patients and the public at all stages of the research process. For example, patients can help to develop a set of research questions, review the suitability of a study design, approve plain English summaries for grant/ethics applications and dissemination, collect and analyse data, and assist with writing up a project for publication. This is becoming highly recommended and even required by funders (Boivin et al., 2018).", Co-production; Participatory research,NA,NA,PPI
Paywall ," A technological barrier that permits access to information only to individuals who have paid \- either personally, or via an organisation \- a designated fee or subscription.", Day et al. (2020); [https://casrai.org/term/closed-access/](https://casrai.org/term/closed-access/);  \[@Day2020\], Bradley Baker, Mahmoud Elsherif; Sam Parsons; Charlotte R. Pennington; Julia Wolska," A technological barrier that permits access to information only to individuals who have paid \- either personally, or via an organisation \- a designated fee or subscription.", Accessibility; Open Access,NA,NA,NA
PCI (Peer Community In) ," PCI is a non-profit organisation that creates communities of researchers who review and recommend unpublished preprints based upon high-quality peer review from at least two researchers in their field. These preprints are then assigned a DOI, similarly to a journal article. PCI was developed to establish a free, transparent and public scientific publication system based on the review and recommendation of preprints.", [https://peercommunityin.org/](https://peercommunityin.org/) \[@PCI\_n\_d\], Emma Henderson, Jamie P. Cockcroft; Christopher Graham; Bethan Iley; Aleksandra Lazić; Charlotte R. Pennington," PCI is a non-profit organisation that creates communities of researchers who review and recommend unpublished preprints based upon high-quality peer review from at least two researchers in their field. These preprints are then assigned a DOI, similarly to a journal article. PCI was developed to establish a free, transparent and public scientific publication system based on the review and recommendation of preprints.", Open Access; Open Archives; Open Peer Review; PCI Registered Reports; Peer review; Preprints,NA,NA,Peer Community In
PCI Registered Reports ," An initiative launched in 2021 dedicated to receiving, reviewing, and recommending Registered Reports (RRs) across the full spectrum of Science, technology, engineering, and mathematics (STEM), medicine, social sciences and humanities. Peer Community In (PCI) RRs are overseen by a ‘Recommender’ (equivalent to an Action Editor) and reviewed by at least two experts in the relevant field. It provides free and transparent pre- (Stage 1\) and post-study (Stage 2\) reviews across research fields. A network of PCI RR-friendly journals endorse the PCI RR review criteria and commit to accepting, without further peer review, RRs that receive a positive final recommendation from PCI RR.", [https://rr.peercommunityin.org/about/about](https://rr.peercommunityin.org/about/about) \[@PCI\_rr\], Charlotte R. Pennington, Sarah Ashcroft-Jones; Jamie P. Cockcroft; Mahmoud Elsherif; Helena Hartmann," An initiative launched in 2021 dedicated to receiving, reviewing, and recommending Registered Reports (RRs) across the full spectrum of Science, technology, engineering, and mathematics (STEM), medicine, social sciences and humanities. Peer Community In (PCI) RRs are overseen by a ‘Recommender’ (equivalent to an Action Editor) and reviewed by at least two experts in the relevant field. It provides free and transparent pre- (Stage 1\) and post-study (Stage 2\) reviews across research fields. A network of PCI RR-friendly journals endorse the PCI RR review criteria and commit to accepting, without further peer review, RRs that receive a positive final recommendation from PCI RR.", In Principle Acceptance (IPA); Open Access; PCI (Peer Community In); Publication bias (File Drawer Problem); Registered Report; Results blind; Stage 1 study review; Stage 2 study review; Transparency,NA,NA,NA
Plan S ," Plan S is an initiative, launched in September 2018 by cOAlition S, a consortium of research funding organisations, which aims to accelerate the transition to full and immediate Open Access. Participating funders require recipients of research grants to publish their research in compliant Open Access journals or platforms, or make their work openly and immediately available in an Open Access repository, from 2021 onwards. cOAlition S funders have commited to not financially support ‘hybrid’ Open Access publication fees in subscription venues. However, authors can comply with plan S through publishing Open Access in a subscription journal under a “transformative arrangement” as further described in the implementation guidance. The “S” in Plan S stands for shock.", [https://www.coalition-s.org](https://www.coalition-s.org/)\[@coalition\_s\], Olmo van den Akker, Jamie P. Cockcroft; Helena Hartmann; Halil E. Kocalar; Birgit Schmidt," Plan S is an initiative, launched in September 2018 by cOAlition S, a consortium of research funding organisations, which aims to accelerate the transition to full and immediate Open Access. Participating funders require recipients of research grants to publish their research in compliant Open Access journals or platforms, or make their work openly and immediately available in an Open Access repository, from 2021 onwards. cOAlition S funders have commited to not financially support ‘hybrid’ Open Access publication fees in subscription venues. However, authors can comply with plan S through publishing Open Access in a subscription journal under a “transformative arrangement” as further described in the implementation guidance. The “S” in Plan S stands for shock.", Open Access; DORA; Repository,NA,NA,NA
Positionality ," The contextualization of both the research environment and the researcher, to define the boundaries within the research was produced (Jaraf, 2018). Positionality is typically centred and celebrated in qualitative research, but there have been recent calls for it to also be used in quantitative research as well. Positionality statements, whereby a researcher outlines their background and ‘position’ within and towards the research, have been suggested as one method of recognising and centring researcher bias."," Jafar (2018); Oxford Dictionaries (2017) \[@Jafar2018\], \[@Oxford\_Reference2017\]", Joanne McCuaig, Helena Hartmann; Aoife O’Mahony; Madeleine Pownall; Graham Reid," The contextualization of both the research environment and the researcher, to define the boundaries within the research was produced (Jaraf, 2018). Positionality is typically centred and celebrated in qualitative research, but there have been recent calls for it to also be used in quantitative research as well. Positionality statements, whereby a researcher outlines their background and ‘position’ within and towards the research, have been suggested as one method of recognising and centring researcher bias.", Bias; Reflexivity; Perspective,NA,NA,NA
Positionality Map ," A reflexive tool for practicing explicit positionality in critical qualitative research. The map is to be used “as a flexible starting point to guide researchers to reflect and be reflexive about their social location. The map involves three tiers: the identification of social identities (Tier 1), how these positions impact our life (Tier 2), and details that may be tied to the particularities of our social identity (Tier 3).” (Jacobson and Mustafa 2019, p. 1). The aim of the map is “for researchers to be able to better identify and understand their social locations and how they may pose challenges and aspects of ease within the qualitative research process.”", Jacobson and Mustafa (2019) \[@Jacobson2019\], Joanne McCuaig, Helena Hartmann; Michele C. Lim; Charlotte R. Pennington; Graham Reid," A reflexive tool for practicing explicit positionality in critical qualitative research. The map is to be used “as a flexible starting point to guide researchers to reflect and be reflexive about their social location. The map involves three tiers: the identification of social identities (Tier 1), how these positions impact our life (Tier 2), and details that may be tied to the particularities of our social identity (Tier 3).” (Jacobson and Mustafa 2019, p. 1). The aim of the map is “for researchers to be able to better identify and understand their social locations and how they may pose challenges and aspects of ease within the qualitative research process.”", Positionality; Qualitative research; Social identity map; Transparency,NA,NA,NA
Post Hoc ," Post hoc is borrowed from Latin, meaning “after this”. In statistics, post hoc (or post hoc analysis) refers to the testing of hypotheses not specified prior to data analysis. In frequentist statistics, the procedure differs based on whether the analysis was planned or post-hoc, for example by applying more stringent error control. In contrast, Bayesian and likelihood approaches do not differ as a function of when the hypothesis was specified."," Dienes (p.166, 2008\) \[@Dienes2008\]",NA, Sam Parsons; Jamie P. Cockcroft; Bethan Iley; Halil E. Kocalar; Graham Reid; Flávio Azevedo," Post hoc is borrowed from Latin, meaning “after this”. In statistics, post hoc (or post hoc analysis) refers to the testing of hypotheses not specified prior to data analysis. In frequentist statistics, the procedure differs based on whether the analysis was planned or post-hoc, for example by applying more stringent error control. In contrast, Bayesian and likelihood approaches do not differ as a function of when the hypothesis was specified."," A priori, Ad hoc; HARKing; P-hacking", Alaa Aldoh,NA,NA
Post Publication Peer Review ," Peer review that takes place after research has been published. It is typically posted on a dedicated platform (e.g., PubPeer). It is distinct from the traditional commentary which is published in the same journal and which is itself usually peer reviewed.",NA,NA, Mahmoud Elsherif; Sam Parsons," Peer review that takes place after research has been published. It is typically posted on a dedicated platform (e.g., PubPeer). It is distinct from the traditional commentary which is published in the same journal and which is itself usually peer reviewed.", Open Peer Review; PeerPub; Peer review, Ali H. Al-Hoorie,NA,NA
Posterior distribution ," A way to summarize one’s updated knowledge in Bayesian inference, balancing prior knowledge with observed data. In statistical terms, posterior distributions are proportional to the product of the likelihood function and the prior. A posterior probability distribution captures (un)certainty about a given parameter value."," Dienes (2014); Lüdtke et al. (2020); van de Schoot et al. (2021) \[@Dienes2014\], \[@Ludtke2020\], \[@van\_de\_Schoot2021\]",NA, Adam Parker; Jamie P. Cockcroft; Julia Wolska; Yu-Fang Yang; Charlotte R. Pennington," A way to summarize one’s updated knowledge in Bayesian inference, balancing prior knowledge with observed data. In statistical terms, posterior distributions are proportional to the product of the likelihood function and the prior. A posterior probability distribution captures (un)certainty about a given parameter value.", Bayes Factor; Bayesian inference; Bayesian parameter estimation; Likelihood function; Prior distribution, Alaa AlDoh,NA,NA
Predatory Publishing ," Predatory (sometimes “vanity”) publishing describes a range of business practices in which publishers seek to profit, primarily by collecting article processing charges (APCs), from publishing scientific works without necessarily providing legitimate quality checks (e.g., peer review) or editorial services. In its most extreme form, predatory publishers will publish any work, so long as charges are paid. Other less extreme strategies, such as sending out high numbers of unsolicited requests for editing or publishing in fee-driven special issues, have also been accused as predatory (Crosetto, 2021)."," Crosetto (2021); Xia et al. (2015) \[@Crosetto2021\], \[@Xia2015\]", Nick Ballou, Olmo van den Akker; Helena Hartmann; Aleksandra Lazić; Graham Reid; Flávio Azevedo," Predatory (sometimes “vanity”) publishing describes a range of business practices in which publishers seek to profit, primarily by collecting article processing charges (APCs), from publishing scientific works without necessarily providing legitimate quality checks (e.g., peer review) or editorial services. In its most extreme form, predatory publishers will publish any work, so long as charges are paid. Other less extreme strategies, such as sending out high numbers of unsolicited requests for editing or publishing in fee-driven special issues, have also been accused as predatory (Crosetto, 2021).", Article Processing Charge (APC); Gaming (the system),NA,NA,NA
PREPARE Guidelines ," The PREPARE guidelines and checklist (Planning Research and Experimental Procedures on Animals: Recommendations for Excellence) aim to help the planning of animal research, and support adherence to the 3Rs (Replacement, Reduction or Refinement) and facilitate the reproducibility of animal research.", Smith et al. (2018) \[@Smith2018\],NA, Mahmoud Elsherif; Gilad Feldman; Elias Garcia-Pelegrin," The PREPARE guidelines and checklist (Planning Research and Experimental Procedures on Animals: Recommendations for Excellence) aim to help the planning of animal research, and support adherence to the 3Rs (Replacement, Reduction or Refinement) and facilitate the reproducibility of animal research.", ARRIVE Guidelines; Reporting Guideline; STRANGE, Ben Farrar,NA,NA
Preprint ," A publicly available version of any type of scientific manuscript/research output preceding formal publication, considered a form of Green Open Access. Preprints are usually hosted on a repository (e.g. arXiv) that facilitates dissemination by sharing research results more quickly than through traditional publication. Preprint repositories typically provide persistent identifiers (e.g. DOIs) to preprints. Preprints can be published at any point during the research cycle, but are most commonly published upon submission (i.e., before peer-review). Accepted and peer-reviewed versions of articles are also often uploaded to preprint servers, and are called postprints."," Bourne et al. (2017); Elmore (2018) \[@BourneEtAl2017\], \[@Elmore2018\]",NA, Gisela H. Govaart; Helena Hartmann; Sam Parsons; Tobias Wingen; Flávio Azevedo," A publicly available version of any type of scientific manuscript/research output preceding formal publication, considered a form of Green Open Access. Preprints are usually hosted on a repository (e.g. arXiv) that facilitates dissemination by sharing research results more quickly than through traditional publication. Preprint repositories typically provide persistent identifiers (e.g. DOIs) to preprints. Preprints can be published at any point during the research cycle, but are most commonly published upon submission (i.e., before peer-review). Accepted and peer-reviewed versions of articles are also often uploaded to preprint servers, and are called postprints.", Open Access; DOI (digital object identifier); Postprint; Working Paper, Mariella Paul,NA,NA
Preregistration ," The practice of publishing the plan for a study, including research questions/hypotheses, research design, data analysis before the data has been collected or examined. It is also possible to preregister secondary data analyses (Merten & Krypotos, 2019). A preregistration document is time-stamped and typically registered with an independent party (e.g., a repository) so that it can be publicly shared with others (possibly after an embargo period). Preregistration provides a transparent documentation of what was planned at a certain time point, and allows third parties to assess what changes may have occurred afterwards. The more detailed a preregistration is, the better third parties can assess these changes and with that the validity of the performed analyses. Preregistration aims to clearly distinguish confirmatory from exploratory research."," Haven and van Grootel (2019); Lewandowsky and Bishop (2016); Merten and Krypotos (2019); Navarro (2020); Nosek et al. (2018); Simmons et al. (2021) \[@HavenvanGrootel2019\], \[@Lewandowsky2016\], \[@Mertens2019\], \[@Navarro2020\], \[@Nosek2018\], \[@Simmons2021\]",NA, Gisela H. Govaart; Helena Hartmann; Tina Lonsdorf; William Ngiam; Eike Mark Rinke; Lisa Spitzer; Olmo van den Akker; Flávio Azevedo," The practice of publishing the plan for a study, including research questions/hypotheses, research design, data analysis before the data has been collected or examined. It is also possible to preregister secondary data analyses (Merten & Krypotos, 2019). A preregistration document is time-stamped and typically registered with an independent party (e.g., a repository) so that it can be publicly shared with others (possibly after an embargo period). Preregistration provides a transparent documentation of what was planned at a certain time point, and allows third parties to assess what changes may have occurred afterwards. The more detailed a preregistration is, the better third parties can assess these changes and with that the validity of the performed analyses. Preregistration aims to clearly distinguish confirmatory from exploratory research.", Confirmation bias; Confirmatory analyses; Exploratory Data Analysis; HARKing; Pre-analysis plan; Questionable Research Practices or Questionable Reporting Practices (QRPs); Registered Report; Research Protocol; Transparency, Mahmoud Elsherif,NA,NA
Preregistration Pledge ," In a “collective action in support of open and reproducible research practices'', the preregistration pledge is a campaign from the Project Free Our Knowledge that asks a researcher to commit to preregistering at least one study in the next two years ([https://freeourknowledge.org/2020-12-03-preregistration-pledge/](https://freeourknowledge.org/2020-12-03-preregistration-pledge/) [https://freeourknowledge.org/about/](https://freeourknowledge.org/about/)). The project is a grassroots movement initiated by early career researchers (ECRs).", [https://freeourknowledge.org/2020-12-03-preregistration-pledge/](https://freeourknowledge.org/2020-12-03-preregistration-pledge/) \[@Knowledge2020\], Helena Hartmann," Jamie P. Cockcroft; Mahmoud Elsherif; Aleksandra Lazić, Steven Verheyen"," In a “collective action in support of open and reproducible research practices'', the preregistration pledge is a campaign from the Project Free Our Knowledge that asks a researcher to commit to preregistering at least one study in the next two years ([https://freeourknowledge.org/2020-12-03-preregistration-pledge/](https://freeourknowledge.org/2020-12-03-preregistration-pledge/) [https://freeourknowledge.org/about/](https://freeourknowledge.org/about/)). The project is a grassroots movement initiated by early career researchers (ECRs).", Preregistration,NA,NA,NA
PRO (peer review openness) initiative ," The agreement made by several academics that they will not provide a peer review of a manuscript unless certain conditions are met. Specifically, the manuscript authors should ensure the data and materials will be made publically available (or give a justification as to why they are not freely available or shared), provide documentation detailing how to interpret and run any files or code and detail where these files can be located via the manuscript itself.", Morey et al. (2016) \[@Morey2016\], Jamie P. Cockcroft, Sarah Ashcroft-Jones; Mahmoud Elsherif; Helena Hartmann; Steven Verheyen," The agreement made by several academics that they will not provide a peer review of a manuscript unless certain conditions are met. Specifically, the manuscript authors should ensure the data and materials will be made publically available (or give a justification as to why they are not freely available or shared), provide documentation detailing how to interpret and run any files or code and detail where these files can be located via the manuscript itself.", Non-anonymised peer review; Open Science; Open Peer Review; Transparent peer review,NA,NA,peer review openness
