Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
"Null Hypothesis Significance Testing (NHST, Nullhypothesen-Signifikanztestung) *","** A frequentist approach to inference used to test the probability of an observed effect against the null hypothesis of no effect/relationship (Pernet, 2015). Such a conclusion is arrived at through use of an index called the *p*\-value. Specifically, researchers will conclude an effect is present when an a priori alpha threshold, set by the researchers, is satisfied; this determines the acceptable level of uncertainty and is closely related to Type I error.",** Lakens et al. (2018); Pernet (2015); Spence and Stanley (2018),** Alaa AlDoh,** Jamie P. Cockcroft; Annalise A. LaPlume; Charlotte R. Pennington; Sonia Rishi,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey  ### **O** {#o}","Ein frequentistischer Ansatz für Schlussfolgerungen, der verwendet wird, um die Wahrscheinlichkeit eines beobachteten Effekts angesichts der Nullhypothese eines fehlenden Effekts/Zusammenhangs zu testen (Pernet, 2015). Eine solche Schlussfolgerung wird durch die Verwendung eines Indexes, des sogenannten p-Wertes, erreicht. Insbesondere schließen Forscher:innen auf das Vorhandensein eines Effekts, wenn ein von den Forscher:innen vorher festgelegter Alpha-Schwellenwert erfüllt ist; dieser bestimmt das akzeptable Maß an Unsicherheit und ist eng mit dem Typ-I-Fehler verbunden.",** Inference; P-value; Statistical significance; Type I error,NA,NA,NA
Objectivity (Objektivität) *,"** The idea that scientific claims, methods, results and scientists themselves should remain value-free and unbiased, and thus not be affected by cultural, political, racial or religious bias as well as any personal interests (Merton, 1942).",NA,** Ryan Millager,** Mahmoud Elsherif; Madeleine Ingham; Kai Krautter; Sam Parsons; Charlotte R. Pennington,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Die Idee, dass wissenschaftliche Behauptungen, Methoden, Ergebnisse und Wissenschaftler:innen selbst wertfrei und unvoreingenommen bleiben sollten und somit nicht von kulturellen, politischen, herkunftsbezogenen oder religiösen Vorurteilen sowie persönlichen Interessen beeinflusst werden sollten (Merton, 1942).",** Communality; Mertonian norms; Neutrality,** Macfarlane and Cheng (2008); Merton (1942),NA,NA
Ontology (Artificial Intelligence) (Ontologie in der Künstlichen Intelligenz) *,** A set of axioms in a subject area that help classify and explain the nature of the entities under study and the relationships between them.,** Noy and McGuinness (2001),** Emma Norris,** Charlotte R. Pennington; Graham Reid,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey","Eine Sammlung von Grundregeln (axioms) in einem Fachgebiet, die zur Klassifizierung und Erklärung der Art der untersuchten Einheiten und der Beziehungen zwischen ihnen beitragen.",** Axiology; Epistemology; Taxonomy,NA,NA,NA
Open access *,"** “Free availability of scholarship on the public internet, permitting any users to read, download, copy, distribute, print, search, or link to the full texts of these research articles, crawl them for indexing, pass them as data to software, or use them for any other lawful purpose, without financial, legal, or technical barriers other than those inseparable from gaining access to the internet itself” (Boai, 2002). Different methods of achieving open access (OA) are often referred to by color, including Green Open Access (when the work is openly accessible from a public repository), Gold Open Access (when the work is immediately openly accessible upon publication via a journal website), and Platinum (or Diamond) Open Access (a subset of Gold OA in which all works in the journal are immediately accessible after publication from the journal website without the authors needing to pay an article processing fee \[APC\]).",NA,NA,** Nick Ballou; Helena Hartmann; Aoife O’Mahony; Ross Mounce; Mariella Paul; Charlotte R. Pennington,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Free availability of scholarship on the public internet, permitting any users to read, download, copy, distribute, print, search, or link to the full texts of these research articles, crawl them for indexing, pass them as data to software, or use them for any other lawful purpose, without financial, legal, or technical barriers other than those inseparable from gaining access to the internet itself” (Boai, 2002; dt.: Freie Verfügbarkeit von wissenschaftlichen Arbeiten im öffentlichen Internet, die es allen Nutzer:innen erlaubt, die Volltexte dieser Forschungsartikel zu lesen, herunterzuladen, zu kopieren, zu verbreiten, zu drucken, zu durchsuchen oder mit ihnen zu verlinken, sie für die Indexierung zu durchsuchen, sie als Daten an Software weiterzugeben oder sie für jeden anderen rechtmäßigen Zweck zu nutzen, ohne andere finanzielle, rechtliche oder technische Hindernisse als die, die untrennbar mit dem Zugang zum Internet selbst verbunden sind). Verschiedene Methoden zur Erreichung von Open Access werden oft farblich gekennzeichnet, darunter Green Open Access (wenn das Werk über ein öffentliches Repositorium zugänglich ist), Gold Open Access (wenn das Werk unmittelbar nach der Veröffentlichung über eine Zeitschriften-Website zugänglich ist) und Platin (oder Diamant) Open Access (eine Untergruppe von Gold Open Access, bei der alle Werke in der Zeitschrift unmittelbar nach der Veröffentlichung über die Zeitschriften-Website zugänglich sind, ohne dass die Autor:innen eine Gebühr für die Bearbeitung von Artikeln \[article processing fee; APC\] zahlen müssen).",** Article Processing Charge; FAIR principles; Paywall; Preprint; Repository,** [Budapest Open Access Initiative (2002)](https://www.budapestopenaccessinitiative.org/read); Suber (2015),** Mahmoud Elsherif,NA
Open Code (Offener Code) *,"** Making computer code (e.g., programming, analysis code, stimuli generation) freely and publicly available in order to make research methodology and analysis transparent and allow for reproducibility and collaboration. Code can be made available via open code websites, such as GitHub, the Open Science Framework, and Codeshare (to name a few), enabling others to evaluate and correct errors and re-use and modify the code for subsequent research.",** Easterbrook (2014),** Charlotte R. Pennington,** Elizabeth Collins; Mahmoud Elsherif; Christopher Graham; Emma Henderson,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey","Freier und öffentlicher Zugang zu Computercode (z. B. Programmierung, Analysecode, Stimulusgenerierung), um die Forschungsmethodik und \-analyse transparent zu machen und Reproduzierbarkeit und Zusammenarbeit zu ermöglichen. Der Code kann z. B. über Open-Code-Websites wie GitHub, das Open Science Framework und Codeshare zur Verfügung gestellt werden, so dass andere den Code bewerten, Fehler korrigieren und ihn für spätere Forschungsarbeiten wiederverwenden und verändern können.",** Computational Reproducibility; Open Access; Open Licensing; Open Material; Open Source; Open Source Software; Reproducibility; Syntax,NA,NA,NA
Open Data (Offene Daten) *,"** Open data refers to data that is freely available and readily accessible for use by others without restriction, “Open data and content can be freely used, modified, and shared by anyone for any purpose” ([https://opendefinition.org/](https://opendefinition.org/)). Open data are subject to the requirement to attribute and share alike, thus it is important to consider appropriate Open Licenses. Sensitive or time-sensitive datasets can be embargoed or shared with more selective access options to ensure data integrity is upheld.",** [https://opendefinition.org/](https://opendefinition.org/) (version 2.1); [https://opendatahandbook.org/guide/en/what-is-open-data/](https://opendatahandbook.org/guide/en/what-is-open-data/),** Lisa Spitzer,** Sarah Ashcroft-Jones; Mahmoud Elsherif; Helena Hartmann; Matt Jaquiery; Flávio Azevedo; Ross Mounce; Charlotte R. Pennington; Steven Verheyen,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey","Offene Daten sind frei verfügbare und direkt zugängliche Daten, die von anderen uneingeschränkt genutzt werden können. ""Open data and content can be freely used, modified, and shared by anyone for any purpose” (dt. Offene Daten und Inhalte können von jeder:m zu jedem Zweck frei verwendet, verändert und weitergegeben werden"" ) ([https://opendefinition.org/](https://opendefinition.org/)). Offene Daten unterliegen sowohl dem Erfordernis der Kennzeichnung als auch des Teilens, daher ist es wichtig, geeignete Lizenzen (Open Licenses) in Betracht zu ziehen. Sensible oder zeitkritische Datensätze können mit einer Sperrfrist (embargo) belegt oder mit selektiveren Zugriffsoptionen freigegeben werden, um die Integrität der Daten zu gewährleisten.",** Badges (Open Science); Data availability; FAIR principles; Metadata; Open Licenses; Open Material; Reproducibility; Secondary data analysis,NA,NA,NA
"Open Educational Resources (OERs, Offene Bildungsressourcen) *","** Learning materials that can be modified and enhanced because their creators have given others permission to do so. The individuals or organizations that create OERs—which can include materials such as presentation slides, podcasts, syllabi, images, lesson plans, lecture videos, maps, worksheets, and even entire textbooks—waive some (if not all) of the copyright associated with their works, typically via legal tools like Creative Commons licenses, so others can freely access, reuse, translate, and modify them.",** [https://opensource.com/resources/what-open-education](https://opensource.com/resources/what-open-education); [https://en.unesco.org/themes/building-knowledge-societies/oer](https://en.unesco.org/themes/building-knowledge-societies/oer),** Aleksandra Lazić,** Sam Parsons; Charlotte R. Pennington; Steven Verheyen; Elizabeth Collins,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Lernmaterialien, die verändert und verbessert werden können, weil ihre Urheber:innen anderen die Erlaubnis dazu erteilt haben. Die Personen oder Organisationen, die OER erstellen \- zu denen Materialien wie Präsentationsfolien, Podcasts, Lehrpläne, Bilder, Unterrichtspläne, Vorlesungsvideos, Karten, Arbeitsblätter und sogar ganze Lehrbücher gehören können \- verzichten auf einige (oder alle) der mit ihren Werken verbundenen Urheberrechte, in der Regel über rechtliche Instrumente wie Creative-Commons-Lizenzen, so dass andere frei darauf zugreifen, sie wiederverwenden, übersetzen und verändern können.",** Accessibility; FORRT; Open access; Open Licenses; Open Material,NA,NA,NA
Open Educational Resources (OER) Commons  *,"** OER Commons (with OER standing for open educational resources) is a freely accessible online library allowing teachers to create, share and remix educational resources. The goal of the OER movement is to stimulate “collaborative teaching and learning” ([https://www.oercommons.org/about](https://www.oercommons.org/about)) and provide high-quality educational resources that are accessible for everyone.",NA,NA,"** Mahmoud Elsherif, Gisela H. Govaart",Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","OER Commons (OER steht für Open Educational Resources, aus dem Engl. offene Bildungsressourcen) ist eine frei zugängliche Online-Bibliothek, die es Lehrkräften ermöglicht, Bildungsressourcen zu erstellen, zu teilen und neu zu kombinieren. Das Ziel der OER-Bewegung ist es, kollaboratives Lehren und Lernen (https://www.oercommons.org/about) zu fördern und qualitativ hochwertige Bildungsressourcen bereitzustellen, die für jeden zugänglich sind.",** Equity; FORRT; Inclusion; Open Scholarship Knowledge Base; Open Science Framework,** www.oercommons.org,** Ali H. Al-Hoorie,NA
Open Licenses (Offene Lizenzen) *,"** Open licenses are provided with open data and open software (e.g., analysis code) to define how others can (re)use the licensed material. In setting out the permissions and restrictions, open licenses often permit the unrestricted access, reuse and retribution of an author’s original work. Datasets are typically licensed under a type of open licence known as a Creative Commons license (e.g., MIT, Apache, and GPL). These can differ in relatively subtle ways with GPL licenses (and their variants) being Copyleft licenses that require that any derivative work is licensed under the same terms as the original.",NA,** Andrew J. Stewart,** Elizabeth Collins; Sam Parsons; Graham Reid; Steven Verheyen,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey","Offene Lizenzen werden mit offenen Daten und offener Software (z. B. Analysecode) bereitgestellt, um festzulegen, wie andere das lizenzierte Material (wieder-)verwenden können. Indem sie die Rechte und Einschränkungen festlegen, erlauben offene Lizenzen oft den uneingeschränkten Zugang, die Wiederverwendung und die Weitergabe der Originalarbeit einer:s Autor:in. Datensätze werden in der Regel unter einer Art von offener Lizenz lizenziert, die als Creative-Commons-Lizenz bekannt ist (z. B. MIT, Apache und GPL). Diese können sich auf relativ subtile Weise unterscheiden, wobei die GPL-Lizenzen (und ihre Varianten) Copyleft-Lizenzen sind, die verlangen, dass jede abgeleitete Arbeit unter denselben Bedingungen wie das Original lizenziert wird.",** Creative Commons (CC) License; Copyleft; Copyright; Licence; Open Data; Open Source,** [https://opensource.org/licenses](https://opensource.org/licenses),NA,NA
Open Material (offene Materialien) *,"** Author’s public sharing of materials that were used in a study, “such as survey items, stimulus materials, and experiment programs” (Kidwell et al., 2016, p. 3). Digitally-shareable materials are posted on open access repositories, which makes them publicly available and accessible. Depending on licensing, the material can be reused by other authors for their own studies. Components that are not digitally-shareable (e.g. biological materials, equipment) must be described in sufficient detail to allow reproducibility.",** Blohowiak et al. (2020); Kidwell et al. (2016),** Lisa Spitzer,** Sam Parsons; Charlotte R. Pennington; Olly Robertson; Emily A. Williams; Flávio Azevedo,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Die öffentliche Freigabe von Materialien, die in einer Studie verwendet wurden, “such as survey items, stimulus materials, and experiment programs” (Kidwell et al., 2016, S. 3, aus dem Engl. ""wie z. B. Umfrageelemente, Stimulusmaterialien und Experimental-Programme"") durch den/die Autor:in. Digital teilbare Materialien werden auf Open-Access-Repositorien veröffentlicht, wodurch sie öffentlich verfügbar und zugänglich werden. Je nach Lizenzierung kann das Material von anderen Autor:innen für ihre eigenen Studien wiederverwendet werden. Komponenten, die nicht digital weitergegeben werden können (z. B. biologische Materialien, Geräte), müssen ausreichend detailliert beschrieben werden, um eine Reproduzierbarkeit zu ermöglichen.",** Badges (Open Science); Credibility of scientific claims; FAIR principles; Open Access; Open Code; Open Data; Reproducibility; Transparency,NA,NA,NA
OpenNeuro *,"** A free platform where researchers can freely and openly share, browse, download and re-use brain imaging data (e.g., MRI, MEG, EEG, iEEG, ECoG, ASL, and PET data).",NA,NA,"** Leticia Micheli, Gisela H. Govaart",Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Eine kostenlose Plattform, auf der Forscher:innen Daten aus Bildgebungsverfahren des Gehirns (z. B. MRI-, MEG-, EEG-, iEEG-, EKoG-, ASL- und PET-Daten) frei und offen austauschen, durchsuchen, herunterladen und wiederverwenden können.",** BIDS data structure; Open data; OpenfMRI,** Poldrack et al. (2013); Poldrack and Gorgolewski (2014) https://openneuro.org/,** Ali H. Al-Hoorie,NA
Open Peer Review (Offene Begutachtung) *,"** A scholarly review mechanism providing disclosure of any combination of author and referee identities, as well as peer-review reports and editorial decision letters, to one another or publicly at any point during or after the peer review or publication process. It may also refer to the removal of restrictions on who can participate in peer review and the platforms for doing so. Note that ‘open peer review’ has been used interchangeably to refer to any, or all, of the above practices.",NA,** Sonia Rishi,** Mahmoud Elsherif; Sam Parsons; Charlotte R. Pennington; Yuki Yamada; Flávio Azevedo,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey","Ein wissenschaftlicher Begutachtungsmechanismus, der die Offenlegung der Identität von Autor:innen und Gutachter:innen sowie von Peer-Review-Gutachten und editorischen Entscheidungsschreiben untereinander oder gegenüber der Öffentlichkeit zu jedem Zeitpunkt während oder nach dem Peer-Review- oder Veröffentlichungsprozess ermöglicht. Der Begriff kann sich auch auf die Aufhebung von Beschränkungen für die Teilnahme am Peer-Review-Verfahren und die entsprechenden Plattformen dafür beziehen. Beachten Sie, dass der Begriff ""offene Begutachtung"" austauschbar verwendet wird, um sich auf jede der oben genannten Praktiken oder auf alle zu beziehen.",** Non-anonymised peer review; Open science; PRO (peer review openness) initiative; Transparent peer review,Ross-Hellauer (2017),NA,NA
Open Scholarship *,"‘**Open scholarship’ is often used synonymously with ‘open science’, but extends to all disciplines, drawing in those which might not traditionally identify as science-based. It reflects the idea that knowledge of all kinds should be openly shared, transparent, rigorous, reproducible, replicable, accumulative, and inclusive (allowing for all knowledge systems). Open scholarship includes all scholarly activities that are not solely limited to research such as teaching and pedagogy.",NA,NA,** Mahmoud Elsherif; Zoe Flack; Sam Parsons; Charlotte R. Pennington,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Der Begriff ""Open Scholarship"" wird oft synonym mit ""Open Science"" verwendet, erstreckt sich aber auf alle Disziplinen und schließt auch solche ein, die sich selbst traditionell nicht als wissenschaftlich bezeichnen. Er spiegelt die Idee wider, dass Wissen aller Art offen, transparent, rigoros (genau), reproduzierbar, replizierbar, akkumulierbar und inklusiv sein sollte (unter Berücksichtigung aller Wissenssysteme). Open Scholarship umfasst alle wissenschaftlichen Aktivitäten, die sich nicht nur auf die Forschung beschränken, wie Lehre und Pädagogik.",** Bropenscience; Decolonisation; Knowledge; Open Research; Open Science,** Tennant et al. (2019) Foundations for Open Scholarship Strategy Development https://www.researchgate.net/publication/330742805\_Foundations\_for\_Open\_Scholarship\_Strategy\_Development,** Gerald Vineyard,NA
Open Scholarship Knowledge Base  *,"** The Open Scholarship Knowledge Base (OSKB) is a collaborative initiative to share knowledge on the what, why and how of open scholarship to make this knowledge easy to find and apply. Information is curated and created by the community. The OSKB is a community under the Center for Open Science (COS).",NA,NA,** Mahmoud Elsherif; Samuel Guay; Tamara Kalandadze,Susanne Vogel,Helena Hartmann,"Die Open Scholarship Knowledge Base (OSKB) ist eine gemeinschaftliche Initiative zum Austausch von Wissen über das Was, Warum und Wie von Open Scholarship, damit dieses Wissen leicht zu finden und anzuwenden ist. Die Informationen werden von der Gemeinschaft kuratiert und erstellt. Die OSKB ist eine Gemeinschaft im Rahmen des Center for Open Science (COS).","** Center for Open Science (COS), Open Educational Resources (OERs); Open scholarship; Open Science",** www.oercommons.org/hubs/OSKB,** Ali H. Al-Hoorie,NA
Open Science (Offene Forschung) *,"** An umbrella term reflecting the idea that scientific knowledge of all kinds, where appropriate, should be openly accessible, transparent, rigorous, reproducible, replicable, accumulative, and inclusive, all which are considered fundamental features of the scientific endeavour. Open science consists of principles and behaviors that promote transparent, credible, reproducible, and accessible science. Open science has six major aspects: open data, open methodology, open source, open access, open peer review, and open educational resources.",NA,NA,** Zoe Flack; Tamara Kalandadze; Charlotte R. Pennington; Qinyu Xiao,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Ein Oberbegriff, der die Idee widerspiegelt, dass wissenschaftliche Erkenntnisse aller Art, wenn möglich, offen zugänglich, transparent, rigoros (genau), reproduzierbar, replizierbar, akkumulierbar und inklusiv sein sollten. Diese Eigenschaften werden als  grundlegende Merkmale wissenschaftlicher Bestrebungen angesehen. Offene Wissenschaft besteht aus Prinzipien und Verhaltensweisen, die eine transparente, glaubwürdige, reproduzierbare und zugängliche Wissenschaft fördern. Offene Wissenschaft hat sechs Hauptaspekte: offene Daten, offene Methodik, offene Quellcodes, offener Zugang (Open Access), offenes Peer Review und offene Bildungsressourcen.",** Accessibility; Credibility; Open Data; Open Material; Open Peer Review; Open Research; Open Science Practices; Open Scholarship; Reproducibility crisis (aka Replicability or replication crisis); Reproducibility; Transparency,** Abele-Brehm et al. (2019); Crüwell et al. (2019); Kathawalla et al. (2020); Syed (2019); Woelfe et al. (2011),** Mahmoud Elsherif,NA
Open Science Framework *,"** A free and open source platform for researchers to organize and share their research project and to encourage collaboration. Often used as an open repository for research code, data and materials, preprints and preregistrations, while managing a more efficient workflow. Created and maintained by the Center for Open Science.",NA,NA,** Mahmoud Elsherif; Charlotte R. Pennington; Lisa Spitzer,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey  ### ---","Eine kostenlose open-source Plattform für Forschende zur Organisation und gemeinsamen Nutzung ihrer Forschungsprojekte und zur Förderung der Zusammenarbeit. Sie wird häufig als offenes Repositorium für Forschungscode, Daten und Materialien, Preprints und Präregistrierungen verwendet und ermöglicht gleichzeitig einen effizienteren Arbeitsablauf. Erstellt und gepflegt durch das Center for Open Science.",** Archive; Center for Open Science (COS); Open Code; Open Data; Preprint; Preregistration,** Foster and Deardorff (2017); https://osf.io/,** William Ngiam,NA
Open Source software (Software mit offenem Quellcode) *,"** A type of computer software in which source code is released under a license that permits others to use, change, and distribute the software to anyone and for any purpose. Open source is more than openly accessible: the distribution terms of open-source software must comply with 10 specific criteria (see: [https://opensource.org/osd](https://opensource.org/osd)).",** [https://opensource.org/osd](https://opensource.org/osd); [https://www.fosteropenscience.eu/foster-taxonomy/open-source-open-science](https://www.fosteropenscience.eu/foster-taxonomy/open-source-open-science),** Connor Keating,** Jamie P. Cockcroft; Helena Hartmann; Charlotte R. Pennington; Andrew J. Stewart,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Eine Art von Computersoftware, bei der der Quellcode unter einer Lizenz veröffentlicht wird, die es anderen erlaubt, die Software zu nutzen, zu verändern und an jede Person und für jeglichen Zweck weiterzugeben. Open Source ist mehr als nur offen zugänglich: Die Vertriebsbedingungen von Open-Source-Software müssen 10 spezifische Kriterien erfüllen (siehe: https://opensource.org/osd).",** Github; Open Access; Open Code; Open Data; Open Licenses; Python; R; Repository,NA,NA,NA
Open washing *,"** Open washing, termed after “greenwashing”, refers to the act of claiming openness to secure perceptions of rigor or prestige associated with open practices. It has been used to characterise the marketing strategy of software companies that have the appearance of open-source and open-licensing, while engaging in proprietary practices. Open washing is a growing concern for those adopting open science practices as their actions are undermined by misleading uses of the practices, and actions designed to facilitate progressive developments are reduced to ‘ticking the box’ without clear quality control.",** Farrow (2017); Moretti (2020); Villum (2016); Vlaeminck and Podkrajac (2017),** Meng Liu,** Thomas Rhys Evans; Sam Guay; Sam Parsons; Charlotte R. Pennington; Beatrice Valentini,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Open Washing, benannt nach dem Ausdruck ""Greenwashing"", bezieht sich auf die Behauptung von Offenheit, um den Eindruck von Rigorosität (Sorgfalt) oder Prestige zu erwecken, die mit offenen Praktiken verbunden sind. Der Begriff wurde verwendet, um die Marketingstrategie von Softwareunternehmen zu charakterisieren, die den Anschein von Open-Source und Open-Licensing erwecken, während sie proprietäre Praktiken anwenden. Open Washing ist ein wachsendes Problem für diejenigen, die offene wissenschaftliche Praktiken anwenden, da ihre Maßnahmen durch eine irreführende Verwendung der Praktiken untergraben werden und Maßnahmen zur Erleichterung fortschrittlicher Entwicklungen auf ein ""Abhaken von Checklisten"" ohne klare Qualitätskontrolle reduziert werden.",** Open Access; Open Data; Open Source,NA,NA,NA
Optional Stopping (Optionales Stoppen) *,"** The practice of (repeatedly) analyzing data during the data collection process and deciding to stop data collection if a statistical criterion (e.g. *p*\-value, or bayes factor) reaches a specified threshold. If appropriate methodological precautions are taken to control the type 1 error rate, this can be an efficient analysis procedure (e.g. Lakens, 2014). However, without transparent reporting or appropriate error control the type 1 error can increase greatly and optional stopping could be considered a Questionable Research Practice (QRP) or a form of p-hacking.",NA,NA,** Ali H. Al-Hoorie; Helena Hartmann; Catia M. Oliveira; Sam Parsons,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey","Die Praxis der (wiederholten) Analyse von Daten während der Datenerhebung und die Entscheidung, die Datenerhebung zu beenden, wenn ein statistisches Kriterium (z. B. der *p*\-Wert oder der Bayes-Faktor) einen bestimmten Schwellenwert erreicht. Wenn geeignete methodische Vorkehrungen zur Kontrolle der Fehlerquote vom Typ 1 getroffen werden, kann dies ein effizientes Analyseverfahren sein (z. B. Lakens, 2014). Ohne eine transparente Berichterstattung oder eine angemessene Fehlerkontrolle kann der Typ-1-Fehler jedoch stark ansteigen, und Optionales Stoppen könnte als fragwürdige Forschungspraxis (questionable research practice; QRP) oder als eine Form des *p*\-hacking betrachtet werden.",** *P*\-hacking; Questionable Research Practices or Questionable Reporting Practices (QRPs); Sequential testing,** Beffara Bret et al. (2021); Lakens (2014); Sagarin et al. (2014); Schönbrodt et al. (2017),NA,** Brice Beffara Bret; Bettina M. J. Kern
ORCID (Open Researcher and Contributor ID) *,"** A organisation that provides a registry of persistent unique identifiers (ORCID iDs) for researchers and scholars, allowing these users to link their digital research documents and other contributions to their ORCID record. This avoids the name ambiguity problem in scholarly communication. ORCID iDs provide unique, persistent identifiers connecting researchers and their scholarly work. It is free to register for an ORCID iD at [https://orcid.org/register](https://orcid.org/register).",NA,NA,** Bradley Baker; Mahmoud Elsherif; Shannon Francis; Charlotte R. Pennington; Emily A. Williams; Flávio Azevedo,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey  ### ---","Eine Organisation, die ein Register mit dauerhaften eindeutigen Identifikatoren (ORCID iDs) für Forscher:innen und Akademiker:innen bereitstellt, so dass diese Nutzer:innen ihre digitalen Forschungsdokumente und andere Beiträge mit ihrem ORCID-Eintrag verknüpfen können. Die Registrierung für eine ORCID iD ist kostenlos aufhttps://orcid.org/register.",** Authorship; DOI (digital object identifier); Name Ambiguity Problem,** Haak et al. (2012); [https://orcid.org/](https://orcid.org/),** Martin Vasilev,NA
Overlay Journal (Overlay Zeitschrift) *,"** Open access electronic journals that collect and curate articles available from other sources (typically preprint servers, such as arXiv). Article curation may include (post-publication) peer review or editorial selection. Overlay journals do not publish novel material; rather, they organize and collate articles available in existing repositories.","** Ginsparg (1997, 2001); [https://discovery.ucl.ac.uk/id/eprint/19081/](https://discovery.ucl.ac.uk/id/eprint/19081/)",** Bradley Baker,** Christopher Graham; Helena Hartmann; Sam Parsons; Charlotte R. Pennington,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey   ###  ### **P** {#p}","Elektronische Open-Access-Zeitschriften, die Artikel aus anderen Quellen (in der Regel Preprint-Server wie arXiv) sammeln und kuratieren. Die Kuratierung der Artikel kann eine (nach der Veröffentlichung erfolgende) Peer-Review-Begutachtung oder redaktionelle Auswahl beinhalten. Overlay-Zeitschriften veröffentlichen kein neues Material, sondern organisieren und sammeln Artikel, die in bestehenden Repositories verfügbar sind.",** Open access; Preprint,NA,NA,NA
P-curve (P-Kurve) *,"** P-curve is a tool for identifying potential publication bias and makes use of the distribution of significant *p*\-values in a series of independent findings. The deviation from the expected right-skewed distribution can be used to assess the existence and degree of publication bias: if the curve is right-skewed, there are more low, highly significant *p*\-values, reflecting an underlying true effect. If the curve is left-skewed, there are many barely significant results just under the 0.05-threshold. This suggests that the studies lack evidential value and may be underpinned by questionable research practices (QRPs; e.g., *p*\-hacking). In the case of no true effect present (true null hypothesis) and unbiased *p*\-value reporting, the *p*\-curve should be a flat, horizontal line, representing the typical distribution of *p*\-values.",** Bruns and Ioannidis (2016); Simonsohn et al. (2014a); Simonsohn et al.(2014b); Simonsohn et al. (2019),** Bettina M. J. Kern,** Sam Guay; Kamil Izydorczak; Charlotte R. Pennington; Robert M. Ross; Olmo van den Akker,Helena Hartmann,"Susanne Vogel, Jennifer Mattschey","Die P-Kurve ist ein Instrument zur Erkennung potenzieller Publikationsverzerrungen (bias) und nutzt die Verteilung signifikanter *p*\-Werte in einer Reihe unabhängiger Befunde. Die Abweichung von der erwarteten rechtsschiefen Verteilung kann verwendet werden, um das Vorhandensein und das Ausmaß von Publikationsverzerrungen zu bewerten: Wenn die Kurve rechtsschief ist, gibt es mehr niedrige, hochsignifikante *p*\-Werte, die einen zugrunde liegenden wahren Effekt widerspiegeln. Wenn die Kurve linksschief ist, gibt es viele kaum signifikante Ergebnisse knapp unter der .05-Schwelle. Dies deutet darauf hin, dass die Studien nicht aussagekräftig sind und möglicherweise durch fragwürdige Forschungspraktiken (questionable research practices, QRPs; z. B. *p*\-hacking) untermauert werden. Wenn kein echter Effekt vorliegt (wahre Nullhypothese) und der p-Wert unverzerrt angegeben wird, sollte die P-Kurve eine flache, horizontale Linie sein, was die typische Verteilung der *p*\-Werte darstellt.",** File-drawer; Hypothesis; *P*\-hacking; *p*\-value; Publication bias (File Drawer Problem); Questionable Research Practices or Questionable Reporting Practices (QRPs); Selective reporting; Z-curve,NA,NA,NA
*P*****-hacking *,"** Exploiting techniques that may artificially increase the likelihood of obtaining a statistically significant result by meeting the standard statistical significance criterion (typically α \= .05). For example, performing multiple analyses and reporting only those at *p* \< .05, selectively removing data until *p* \< .05, selecting variables for use in analyses based on whether those parameters are statistically significant.",NA,NA,** Tamara Kalandadze; William Ngiam; Sam Parsons; Martin Vasilev,Susanne Vogel,"Helena Hartmann, Jennifer Mattschey","Nutzung von Techniken, die die Wahrscheinlichkeit eines statistisch signifikanten Ergebnisses künstlich erhöhen können, indem sie das statistische Standard-Signifikanzkriterium (in der Regel α \= .05) erfüllen. Zum Beispiel die Durchführung mehrerer Analysen und die Angabe nur derjenigen mit *p* \< .05, das selektive Entfernen von Daten bis *p* \< .05, die Auswahl von Variablen für die Verwendung in Analysen auf der Grundlage, ob diese Parameter statistisch signifikant sind.",** Analytic flexibility; Fishing; Garden of forking paths; HARKing; Questionable Research Practices or Questionable Reporting Practices (QRPs); Selective reporting,** Hardwicke et al. (2014); Neuroskeptic (2012),** Mahmoud Elsherif,NA
